"kjopsdato";"posteringsdato";"beskrivelse";"belop"
"2024-02-07";"2024-02-08";"MATKROKEN TASEN 838153, OSLO, NOR";"-166,05"
"2024-02-05";"2024-02-06";"VEGA SNACKBAR A, Oslo, NOR";"-119,00"
"2024-02-05";"2024-02-06";"Vipps*Komplett.no, Oslo, NOR";"-549,00"
"2024-02-05";"2024-02-06";"EXTRA TRONDHEIMSVEIEN, OSLO, NOR";"-311,80"
"2024-02-05";"2024-02-06";"DOMENESHOP.NO, Oslo, NOR";"-95,00"
"2024-02-04";"2024-02-05";"UNO-X TONSBERG 0359, TOENSBERG, NOR";"-600,04"
"2024-02-04";"2024-02-05";"HAUGAR KUNSTMUS, Toensberg, NOR";"-130,00"
"2024-02-04";"2024-02-05";"KIWI 420 VITBAN, Lierstranda, NOR";"-148,10"
"2024-02-04";"2024-02-05";"9 PLANTASJEN, 3400 LIER, NOR";"-199,00"
"2024-02-04";"2024-02-05";"NAF AS, OSLO, NOR";"-290,00"
"2024-02-03";"2024-02-05";"EBILLETT KULTUR, BODO, NOR";"-200,00"
"2024-02-03";"2024-02-05";"REMA 1000 TOYEN, OSLO, NOR";"-352,66"
"2024-02-02";"2024-02-05";"MAMOUNIA AS, Oslo, NOR";"-228,00"
"2024-02-02";"2024-02-05";"TYREN BISTRO AS, Oslo, NOR";"-650,00"
"2024-02-02";"2024-02-05";"2541 OBS ALNABRU 84184, OSLO, NOR";"-439,02"
"2024-02-02";"2024-02-05";"COOP OBS BYGG ALNABRU, OSLO, NOR";"-704,80"
"2024-02-01";"2024-02-05";"COOP PRIX CARL BERNER, OSLO, NOR";"-200,10"
"2024-01-31";"2024-01-31";"Cale AS Parkeringstill, Kista, SWE";"-475,00"
"2024-01-30";"2024-01-31";"REMA MOGATA, Oslo, NOR";"-380,34"
"2024-01-29";"2024-01-30";"JOKER CARL BERN, Oslo, NOR";"-131,03"
"2024-01-28";"2024-01-29";"BUNNPRIS SOFIEN, Oslo, NOR";"-119,80"
"2024-01-27";"2024-01-29";"TICKETMASTER NORWAY, OSLO, NOR";"-1280,00"
"2024-01-27";"2024-01-29";"VINMONOPOLET, OSLO, NOR";"-239,90"
"2024-01-27";"2024-01-29";"JACOBS MAJORSTU, Oslo, NOR";"-864,92"
"2024-01-27";"2024-01-29";"HANDWERK BOTANISKE, GRUNERLKKA OS, NOR";"-96,00"
"2024-01-26";"2024-01-29";"COOP PRIX CARL BERNER, OSLO, NOR";"-426,38"
"2024-01-24";"2024-01-25";"REMA MOGATA, Oslo, NOR";"-311,99"
"2024-01-23";"2024-01-24";"REMA TØYEN, Oslo, NOR";"-207,28"
"2024-01-22";"2024-01-23";"Vipps*Mini Sushi, Oslo, NOR";"-504,00"
"2024-01-20";"2024-01-22";"COOP PRIX CARL BERNER, OSLO, NOR";"-313,45"
"2024-01-20";"2024-01-22";"Carls, Oslo, NOR";"-294,00"
"2024-01-20";"2024-01-22";"Vipps*BINGOKONGEN, Oslo, NOR";"-145,00"
"2024-01-20";"2024-01-22";"FAVRIT, Oslo, NOR";"-294,00"
"2024-01-20";"2024-01-22";"FAVRIT, Oslo, NOR";"-331,00"
"2024-01-19";"2024-01-22";"APOTEK 1,KRONEN, OSLO, NOR";"-89,90"
"2024-01-19";"2024-01-22";"VOUCHER EXPRESS, RIPON, GBR";"-500,00"
"2024-01-19";"2024-01-22";"BACKSTUBE TORGGATAN, OSLO, NOR";"-39,00"
"2024-01-17";"2024-01-19";"COOP PRIX CARL BERNER, OSLO, NOR";"-429,10"
"2024-01-13";"2024-01-15";"REMA TØYEN, Oslo, NOR";"-239,56"
"2024-01-13";"2024-01-15";"KIWI 355 W.M.TH, Oslo, NOR";"-375,00"
"2024-01-13";"2024-01-15";"GUTTA DRIFT AS, OSLO, NOR";"-509,00"
"2024-01-13";"2024-01-15";"BAKER HANSEN ST, Oslo, NOR";"-256,00"
"2024-01-13";"2024-01-15";"NORLI ELDORADO, Oslo, NOR";"-418,00"
"2024-01-13";"2024-01-15";"Jack  Jones, Oslo, NOR";"-199,00"
"2024-01-13";"2024-01-15";"Blomsterista, Oslo, NOR";"-153,00"
